Bestellnummer,Aktivitaet,Timestamp,User
ORD-10001,Bestellung eingegangen,2025-10-04 09:10:00,System
ORD-10001,Bonitätsprüfung automatisch,2025-10-04 09:18:00,System
ORD-10001,Übermittlung an Lager,2025-10-04 09:27:00,System Interface
ORD-10002,Bestellung eingegangen,2025-09-11 13:56:00,System
ORD-10002,Bonitätsprüfung automatisch,2025-09-11 14:06:00,System
ORD-10002,Übermittlung an Lager,2025-09-11 14:52:00,System Interface
ORD-10003,Bestellung eingegangen,2025-10-04 13:12:00,System
ORD-10003,Bonitätsprüfung automatisch,2025-10-04 13:17:00,System
ORD-10003,Übermittlung an Lager,2025-10-04 13:45:00,System Interface
ORD-10004,Bestellung eingegangen,2025-10-15 14:47:00,System
ORD-10004,Bonitätsprüfung automatisch,2025-10-15 14:54:00,System
ORD-10004,Übermittlung an Lager,2025-10-15 15:14:00,System Interface
ORD-10005,Bestellung eingegangen,2025-10-14 10:29:00,System
ORD-10005,Bonitätsprüfung automatisch,2025-10-14 10:37:00,System
ORD-10005,Übermittlung an Lager,2025-10-14 10:47:00,System Interface
ORD-10006,Bestellung eingegangen,2025-09-15 12:46:00,System
ORD-10006,Bonitätsprüfung automatisch,2025-09-15 12:55:00,System
ORD-10006,Übermittlung an Lager,2025-09-15 13:55:00,System Interface
ORD-10007,Bestellung eingegangen,2025-09-27 17:22:00,System
ORD-10007,Bonitätsprüfung automatisch,2025-09-27 17:29:00,System
ORD-10007,Übermittlung an Lager,2025-09-27 18:29:00,System Interface
ORD-10008,Bestellung eingegangen,2025-09-18 13:20:00,System
ORD-10008,Bonitätsprüfung automatisch,2025-09-18 13:21:00,System
ORD-10008,Übermittlung an Lager,2025-09-18 14:07:00,System Interface
ORD-10009,Bestellung eingegangen,2025-10-19 18:00:00,System
ORD-10009,Bonitätsprüfung automatisch,2025-10-19 18:09:00,System
ORD-10009,Übermittlung an Lager,2025-10-19 18:40:00,System Interface
ORD-10010,Bestellung eingegangen,2025-09-20 09:18:00,System
ORD-10010,Bonitätsprüfung automatisch,2025-09-20 09:22:00,System
ORD-10010,Übermittlung an Lager,2025-09-20 10:04:00,System Interface
ORD-10011,Bestellung eingegangen,2025-10-24 11:58:00,System
ORD-10011,Bonitätsprüfung automatisch,2025-10-24 12:02:00,System
ORD-10011,Übermittlung an Lager,2025-10-24 12:35:00,System Interface
ORD-10012,Bestellung eingegangen,2025-10-01 13:28:00,System
ORD-10012,Bonitätsprüfung automatisch,2025-10-01 13:36:00,System
ORD-10012,Übermittlung an Lager,2025-10-01 13:59:00,System Interface
ORD-10013,Bestellung eingegangen,2025-09-29 18:01:00,System
ORD-10013,Bonitätsprüfung automatisch,2025-09-29 18:05:00,System
ORD-10013,Übermittlung an Lager,2025-09-29 18:20:00,System Interface
ORD-10014,Bestellung eingegangen,2025-09-18 13:37:00,System
ORD-10014,Bonitätsprüfung automatisch,2025-09-18 13:39:00,System
ORD-10014,Übermittlung an Lager,2025-09-18 13:47:00,System Interface
ORD-10015,Bestellung eingegangen,2025-09-24 16:04:00,System
ORD-10015,Bonitätsprüfung automatisch,2025-09-24 16:08:00,System
ORD-10015,Übermittlung an Lager,2025-09-24 16:51:00,System Interface
ORD-10016,Bestellung eingegangen,2025-09-14 16:47:00,System
ORD-10016,Bonitätsprüfung automatisch,2025-09-14 16:52:00,System
ORD-10016,Übermittlung an Lager,2025-09-14 17:11:00,System Interface
ORD-10017,Bestellung eingegangen,2025-10-12 08:54:00,System
ORD-10017,Bonitätsprüfung automatisch,2025-10-12 09:02:00,System
ORD-10017,Übermittlung an Lager,2025-10-12 09:20:00,System Interface
ORD-10018,Bestellung eingegangen,2025-09-12 17:35:00,System
ORD-10018,Bonitätsprüfung automatisch,2025-09-12 17:45:00,System
ORD-10018,Übermittlung an Lager,2025-09-12 18:33:00,System Interface
ORD-10019,Bestellung eingegangen,2025-10-28 16:04:00,System
ORD-10019,Bonitätsprüfung automatisch,2025-10-28 16:06:00,System
ORD-10019,Übermittlung an Lager,2025-10-28 17:03:00,System Interface
ORD-10020,Bestellung eingegangen,2025-09-26 08:58:00,System
ORD-10020,Bonitätsprüfung automatisch,2025-09-26 09:08:00,System
ORD-10020,Übermittlung an Lager,2025-09-26 10:05:00,System Interface
ORD-10021,Bestellung eingegangen,2025-10-04 14:43:00,System
ORD-10021,Bonitätsprüfung automatisch,2025-10-04 14:47:00,System
ORD-10021,Übermittlung an Lager,2025-10-04 15:36:00,System Interface
ORD-10022,Bestellung eingegangen,2025-09-22 16:17:00,System
ORD-10022,Bonitätsprüfung automatisch,2025-09-22 16:22:00,System
ORD-10022,Übermittlung an Lager,2025-09-22 17:21:00,System Interface
ORD-10023,Bestellung eingegangen,2025-09-04 10:48:00,System
ORD-10023,Bonitätsprüfung automatisch,2025-09-04 10:53:00,System
ORD-10023,Bonitätsprüfung manuell,2025-09-04 12:53:00,Mitarbeiter_FiBu
ORD-10023,Bestellung freigegeben,2025-09-04 13:20:00,Mitarbeiter_FiBu
ORD-10023,Übermittlung an Lager,2025-09-04 13:42:00,System Interface
ORD-10024,Bestellung eingegangen,2025-09-16 10:37:00,System
ORD-10024,Bonitätsprüfung automatisch,2025-09-16 10:42:00,System
ORD-10024,Übermittlung an Lager,2025-09-16 11:33:00,System Interface
ORD-10025,Bestellung eingegangen,2025-09-21 17:50:00,System
ORD-10025,Bonitätsprüfung automatisch,2025-09-21 18:00:00,System
ORD-10025,Übermittlung an Lager,2025-09-21 18:21:00,System Interface
ORD-10026,Bestellung eingegangen,2025-09-23 15:26:00,System
ORD-10026,Bonitätsprüfung automatisch,2025-09-23 15:32:00,System
ORD-10026,Bonitätsprüfung manuell,2025-09-24 12:32:00,Mitarbeiter_FiBu
ORD-10026,Bestellung freigegeben,2025-09-24 13:02:00,Mitarbeiter_FiBu
ORD-10026,Übermittlung an Lager,2025-09-24 13:51:00,System Interface
ORD-10027,Bestellung eingegangen,2025-10-05 10:24:00,System
ORD-10027,Bonitätsprüfung automatisch,2025-10-05 10:30:00,System
ORD-10027,Übermittlung an Lager,2025-10-05 11:08:00,System Interface
ORD-10028,Bestellung eingegangen,2025-09-15 18:22:00,System
ORD-10028,Bonitätsprüfung automatisch,2025-09-15 18:30:00,System
ORD-10028,Übermittlung an Lager,2025-09-15 19:13:00,System Interface
ORD-10029,Bestellung eingegangen,2025-10-09 13:50:00,System
ORD-10029,Bonitätsprüfung automatisch,2025-10-09 13:51:00,System
ORD-10029,Übermittlung an Lager,2025-10-09 14:03:00,System Interface
ORD-10030,Bestellung eingegangen,2025-10-14 10:32:00,System
ORD-10030,Bonitätsprüfung automatisch,2025-10-14 10:38:00,System
ORD-10030,Übermittlung an Lager,2025-10-14 11:18:00,System Interface
ORD-10031,Bestellung eingegangen,2025-09-28 09:03:00,System
ORD-10031,Bonitätsprüfung automatisch,2025-09-28 09:08:00,System
ORD-10031,Übermittlung an Lager,2025-09-28 10:04:00,System Interface
ORD-10032,Bestellung eingegangen,2025-10-30 18:57:00,System
ORD-10032,Bonitätsprüfung automatisch,2025-10-30 19:05:00,System
ORD-10032,Übermittlung an Lager,2025-10-30 19:17:00,System Interface
ORD-10033,Bestellung eingegangen,2025-10-14 13:52:00,System
ORD-10033,Bonitätsprüfung automatisch,2025-10-14 13:54:00,System
ORD-10033,Bonitätsprüfung manuell,2025-10-15 02:54:00,Mitarbeiter_FiBu
ORD-10033,Bestellung freigegeben,2025-10-15 03:23:00,Mitarbeiter_FiBu
ORD-10033,Übermittlung an Lager,2025-10-15 04:18:00,System Interface
ORD-10034,Bestellung eingegangen,2025-10-13 17:45:00,System
ORD-10034,Bonitätsprüfung automatisch,2025-10-13 17:53:00,System
ORD-10034,Übermittlung an Lager,2025-10-13 18:15:00,System Interface
ORD-10035,Bestellung eingegangen,2025-10-15 18:45:00,System
ORD-10035,Bonitätsprüfung automatisch,2025-10-15 18:52:00,System
ORD-10035,Übermittlung an Lager,2025-10-15 19:05:00,System Interface
ORD-10036,Bestellung eingegangen,2025-10-15 08:18:00,System
ORD-10036,Bonitätsprüfung automatisch,2025-10-15 08:19:00,System
ORD-10036,Übermittlung an Lager,2025-10-15 08:35:00,System Interface
ORD-10037,Bestellung eingegangen,2025-10-30 18:55:00,System
ORD-10037,Bonitätsprüfung automatisch,2025-10-30 18:57:00,System
ORD-10037,Übermittlung an Lager,2025-10-30 19:40:00,System Interface
ORD-10038,Bestellung eingegangen,2025-10-30 11:33:00,System
ORD-10038,Bonitätsprüfung automatisch,2025-10-30 11:43:00,System
ORD-10038,Übermittlung an Lager,2025-10-30 12:26:00,System Interface
ORD-10039,Bestellung eingegangen,2025-10-10 11:10:00,System
ORD-10039,Bonitätsprüfung automatisch,2025-10-10 11:15:00,System
ORD-10039,Übermittlung an Lager,2025-10-10 12:02:00,System Interface
ORD-10040,Bestellung eingegangen,2025-09-08 11:00:00,System
ORD-10040,Bonitätsprüfung automatisch,2025-09-08 11:05:00,System
ORD-10040,Übermittlung an Lager,2025-09-08 11:29:00,System Interface
