Bestellnummer,Aktivitaet,Timestamp,Station
ORD-10001,Wareneingang im LVS,2025-10-04 09:28:46,Server
ORD-10001,Kommissionierung gestartet,2025-10-04 13:28:46,Lagerhalle A
ORD-10001,Kommissionierung beendet,2025-10-04 14:06:46,Lagerhalle A
ORD-10001,Verpacken und Labeldruck,2025-10-04 15:03:46,Packtisch 3
ORD-10001,Versandübergabe,2025-10-04 17:03:46,Rampe 1
ORD-10002,Wareneingang im LVS,2025-09-11 14:53:09,Server
ORD-10002,Kommissionierung gestartet,2025-09-13 02:53:09,Lagerhalle A
ORD-10002,Kommissionierung beendet,2025-09-13 03:13:09,Lagerhalle A
ORD-10002,Verpacken und Labeldruck,2025-09-13 04:38:09,Packtisch 3
ORD-10002,Versandübergabe,2025-09-13 06:38:09,Rampe 1
ORD-10003,Wareneingang im LVS,2025-10-04 13:45:22,Server
ORD-10003,Kommissionierung gestartet,2025-10-06 04:45:22,Lagerhalle A
ORD-10003,Kommissionierung beendet,2025-10-06 05:19:22,Lagerhalle A
ORD-10003,Verpacken und Labeldruck,2025-10-06 05:43:22,Packtisch 3
ORD-10003,Versandübergabe,2025-10-06 06:43:22,Rampe 1
ORD-10004,Wareneingang im LVS,2025-10-15 15:14:59,Server
ORD-10004,Kommissionierung gestartet,2025-10-17 05:14:59,Lagerhalle A
ORD-10004,Kommissionierung beendet,2025-10-17 05:52:59,Lagerhalle A
ORD-10004,Verpacken und Labeldruck,2025-10-17 06:20:59,Packtisch 3
ORD-10004,Versandübergabe,2025-10-17 08:20:59,Rampe 1
ORD-10005,Wareneingang im LVS,2025-10-14 10:48:37,Server
ORD-10005,Kommissionierung gestartet,2025-10-14 14:48:37,Lagerhalle A
ORD-10005,Kommissionierung beendet,2025-10-14 15:08:37,Lagerhalle A
ORD-10005,Verpacken und Labeldruck,2025-10-14 15:23:37,Packtisch 3
ORD-10005,Versandübergabe,2025-10-14 17:23:37,Rampe 1
ORD-10006,Wareneingang im LVS,2025-09-15 13:55:23,Server
ORD-10006,Kommissionierung gestartet,2025-09-16 13:55:23,Lagerhalle A
ORD-10006,Kommissionierung beendet,2025-09-16 14:35:23,Lagerhalle A
ORD-10006,Verpacken und Labeldruck,2025-09-16 14:50:23,Packtisch 3
ORD-10006,Versandübergabe,2025-09-16 15:50:23,Rampe 1
ORD-10007,Wareneingang im LVS,2025-09-27 18:30:51,Server
ORD-10007,Kommissionierung gestartet,2025-09-29 14:30:51,Lagerhalle A
ORD-10007,Kommissionierung beendet,2025-09-29 15:07:51,Lagerhalle A
ORD-10007,Verpacken und Labeldruck,2025-09-29 16:57:51,Packtisch 3
ORD-10007,Versandübergabe,2025-09-29 20:57:51,Rampe 1
ORD-10008,Wareneingang im LVS,2025-09-18 14:08:20,Server
ORD-10008,Kommissionierung gestartet,2025-09-20 08:08:20,Lagerhalle A
ORD-10008,Kommissionierung beendet,2025-09-20 08:26:20,Lagerhalle A
ORD-10008,Verpacken und Labeldruck,2025-09-20 10:19:20,Packtisch 3
ORD-10008,Versandübergabe,2025-09-20 14:19:20,Rampe 1
ORD-10009,Wareneingang im LVS,2025-10-19 18:41:27,Server
ORD-10009,Kommissionierung gestartet,2025-10-20 05:41:27,Lagerhalle A
ORD-10009,Kommissionierung beendet,2025-10-20 06:17:27,Lagerhalle A
ORD-10009,Verpacken und Labeldruck,2025-10-20 07:55:27,Packtisch 3
ORD-10009,Versandübergabe,2025-10-20 11:55:27,Rampe 1
ORD-10010,Wareneingang im LVS,2025-09-20 10:04:41,Server
ORD-10010,Kommissionierung gestartet,2025-09-21 00:04:41,Lagerhalle A
ORD-10010,Kommissionierung beendet,2025-09-21 00:34:41,Lagerhalle A
ORD-10010,Verpacken und Labeldruck,2025-09-21 02:13:41,Packtisch 3
ORD-10010,Versandübergabe,2025-09-21 06:13:41,Rampe 1
ORD-10011,Wareneingang im LVS,2025-10-24 12:35:21,Server
ORD-10011,Kommissionierung gestartet,2025-10-25 21:35:21,Lagerhalle A
ORD-10011,Kommissionierung beendet,2025-10-25 22:15:21,Lagerhalle A
ORD-10011,Verpacken und Labeldruck,2025-10-25 23:52:21,Packtisch 3
ORD-10011,Versandübergabe,2025-10-26 02:52:21,Rampe 1
ORD-10012,Wareneingang im LVS,2025-10-01 14:00:35,Server
ORD-10012,Kommissionierung gestartet,2025-10-02 07:00:35,Lagerhalle A
ORD-10012,Kommissionierung beendet,2025-10-02 07:30:35,Lagerhalle A
ORD-10012,Verpacken und Labeldruck,2025-10-02 08:41:35,Packtisch 3
ORD-10012,Versandübergabe,2025-10-02 09:41:35,Rampe 1
ORD-10013,Wareneingang im LVS,2025-09-29 18:21:13,Server
ORD-10013,Kommissionierung gestartet,2025-10-01 03:21:13,Lagerhalle A
ORD-10013,Kommissionierung beendet,2025-10-01 03:57:13,Lagerhalle A
ORD-10013,Verpacken und Labeldruck,2025-10-01 04:22:13,Packtisch 3
ORD-10013,Versandübergabe,2025-10-01 08:22:13,Rampe 1
ORD-10014,Wareneingang im LVS,2025-09-18 13:48:58,Server
ORD-10014,Kommissionierung gestartet,2025-09-18 18:48:58,Lagerhalle A
ORD-10014,Kommissionierung beendet,2025-09-18 19:14:58,Lagerhalle A
ORD-10014,Verpacken und Labeldruck,2025-09-18 20:54:58,Packtisch 3
ORD-10014,Versandübergabe,2025-09-19 00:54:58,Rampe 1
ORD-10015,Wareneingang im LVS,2025-09-24 16:51:55,Server
ORD-10015,Kommissionierung gestartet,2025-09-24 23:51:55,Lagerhalle A
ORD-10015,Kommissionierung beendet,2025-09-25 00:10:55,Lagerhalle A
ORD-10015,Verpacken und Labeldruck,2025-09-25 01:42:55,Packtisch 3
ORD-10015,Versandübergabe,2025-09-25 02:42:55,Rampe 1
ORD-10016,Wareneingang im LVS,2025-09-14 17:12:00,Server
ORD-10016,Kommissionierung gestartet,2025-09-16 07:12:00,Lagerhalle A
ORD-10016,Kommissionierung beendet,2025-09-16 07:34:00,Lagerhalle A
ORD-10016,Verpacken und Labeldruck,2025-09-16 09:27:00,Packtisch 3
ORD-10016,Versandübergabe,2025-09-16 11:27:00,Rampe 1
ORD-10017,Wareneingang im LVS,2025-10-12 09:20:39,Server
ORD-10017,Kommissionierung gestartet,2025-10-12 17:20:39,Lagerhalle A
ORD-10017,Kommissionierung beendet,2025-10-12 17:55:39,Lagerhalle A
ORD-10017,Verpacken und Labeldruck,2025-10-12 18:39:39,Packtisch 3
ORD-10017,Versandübergabe,2025-10-12 19:39:39,Rampe 1
ORD-10018,Wareneingang im LVS,2025-09-12 18:34:57,Server
ORD-10018,Kommissionierung gestartet,2025-09-14 11:34:57,Lagerhalle A
ORD-10018,Kommissionierung beendet,2025-09-14 12:13:57,Lagerhalle A
ORD-10018,Verpacken und Labeldruck,2025-09-14 12:37:57,Packtisch 3
ORD-10018,Versandübergabe,2025-09-14 16:37:57,Rampe 1
ORD-10019,Wareneingang im LVS,2025-10-28 17:04:48,Server
ORD-10019,Kommissionierung gestartet,2025-10-29 03:04:48,Lagerhalle A
ORD-10019,Kommissionierung beendet,2025-10-29 03:26:48,Lagerhalle A
ORD-10019,Verpacken und Labeldruck,2025-10-29 04:14:48,Packtisch 3
ORD-10019,Versandübergabe,2025-10-29 06:14:48,Rampe 1
ORD-10020,Wareneingang im LVS,2025-09-26 10:06:21,Server
ORD-10020,Kommissionierung gestartet,2025-09-26 20:06:21,Lagerhalle A
ORD-10020,Kommissionierung beendet,2025-09-26 20:32:21,Lagerhalle A
ORD-10020,Verpacken und Labeldruck,2025-09-26 21:56:21,Packtisch 3
ORD-10020,Versandübergabe,2025-09-27 00:56:21,Rampe 1
ORD-10021,Wareneingang im LVS,2025-10-04 15:37:03,Server
ORD-10021,Kommissionierung gestartet,2025-10-06 06:37:03,Lagerhalle A
ORD-10021,Kommissionierung beendet,2025-10-06 07:13:03,Lagerhalle A
ORD-10021,Verpacken und Labeldruck,2025-10-06 07:43:03,Packtisch 3
ORD-10021,Versandübergabe,2025-10-06 08:43:03,Rampe 1
ORD-10022,Wareneingang im LVS,2025-09-22 17:21:22,Server
ORD-10022,Kommissionierung gestartet,2025-09-24 17:21:22,Lagerhalle A
